Bike Station Name,Bike Station Latitude,Bike Station Longitude,Available Bikes,POI Name,POI Rating,POI Latitude,POI Longitude,Distance (km)
Wellington St W / Bay St,43.647259,-79.379878,52,Inuit Art-Eskimo Art Gallery,0.0,43.64166,-79.37604,0.6949673883481808
Wellington St W / Bay St,43.647259,-79.379878,52,Collision Gallery,0.0,43.64782658166067,-79.37868394661265,0.11494974447703137
Wellington St W / Bay St,43.647259,-79.379878,52,Toronto Sculpture Garden,3.6,43.64986750091855,-79.37366770337918,0.5777601655588471
Wellington St W / Bay St,43.647259,-79.379878,52,Tiff,4.0,43.64656218853344,-79.39050313780471,0.8584188940015927
Wellington St W / Bay St,43.647259,-79.379878,52,Harbourfront Centre,4.0,43.6389155063634,-79.38188386648048,0.9416909574305395
Wellington St W / Bay St,43.647259,-79.379878,52,The Rabbit Hole,4.1,43.64995,-79.37976,0.2993765444998578
Wellington St W / Bay St,43.647259,-79.379878,52,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.7143606478465621
Wellington St W / Bay St,43.647259,-79.379878,52,The Butcher Chef,4.6,43.6430184,-79.3757759,0.5755788832253583
Wellington St W / Bay St,43.647259,-79.379878,52,Library Bar,4.1,43.64583140000001,-79.3819623,0.2309213986859452
Wellington St W / Bay St,43.647259,-79.379878,52,Steam Whistle Kitchen,4.2,43.6406672,-79.3857124443711,0.8704348439409583
Wellington St W / Bay St,43.647259,-79.379878,52,Chotto Matte,3.9,43.6462867067857,-79.3788714800065,0.13508320043246685
Wellington St W / Bay St,43.647259,-79.379878,52,Edna + Vita,4.3,43.64940455,-79.38289144,0.34015412603869
Wellington St W / Bay St,43.647259,-79.379878,52,LOCAL Public Eatery Adelaide,4.1,43.648968713601,-79.384350052184,0.406956530964208
Wellington St W / Bay St,43.647259,-79.379878,52,Cafe Landwer- Front,4.4,43.64762587463226,-79.3764915055223,0.275517025652988
Wellington St W / Bay St,43.647259,-79.379878,52,Sansotei Ramen,4.4,43.645322,-79.380408,0.21956603369214756
Wellington St W / Bay St,43.647259,-79.379878,52,Kibo Market,4.8,43.645241899630015,-79.38131876350222,0.2524794694204075
Wellington St W / Bay St,43.647259,-79.379878,52,Evviva Breakfast & Lunch,3.8,43.641602,-79.383301,0.6866890206904073
Wellington St W / Bay St,43.647259,-79.379878,52,The Roof at SOCO,4.0,43.64303,-79.38379,0.5658732925797297
Wellington St W / Bay St,43.647259,-79.379878,52,Joey- King Street,5.0,43.64916277832499,-79.37895502342164,0.22433882381795114
Wellington St W / Bay St,43.647259,-79.379878,52,Canoe,4.1,43.646954,-79.382159,0.18663935971925838
Wellington St W / Bay St,43.647259,-79.379878,52,Impact Kitchen,4.4,43.64085,-79.37871,0.7188197879698828
Wellington St W / Bay St,43.647259,-79.379878,52,Byblos,4.4,43.647546,-79.388123,0.664167095026474
Wellington St W / Bay St,43.647259,-79.379878,52,King Taps,3.9,43.6486379269,-79.3817439,0.21459088592062134
Wellington St W / Bay St,43.647259,-79.379878,52,Clockwork Champagne & Cocktails,4.3,43.64560743132035,-79.38174040326635,0.2370272054225451
Wellington St W / Bay St,43.647259,-79.379878,52,Shake Shack,4.3,43.64488931941005,-79.37980347052275,0.2635650545726924
Wellington St W / Bay St,43.647259,-79.379878,52,The Power Plant Contemporary Art Gallery,4.3,43.63846783255385,-79.3818515921703,0.9903505037764274
Wellington St W / Bay St,43.647259,-79.379878,52,Verno Art Studios,5.0,43.649972079121355,-79.38322387258135,0.40433098919844995
Wellington St W / Bay St,43.647259,-79.379878,52,Immersive Van Gogh Exhibit,3.1,43.642937210334935,-79.3741862,0.6638446140199808
Wellington St W / Bay St,43.647259,-79.379878,52,Nicholas Metivier Gallery,0.0,43.65292,-79.37183,0.9030623493805866
Wellington St W / Bay St,43.647259,-79.379878,52,Collision Gallery,0.0,43.64782658166067,-79.37868394661265,0.11494974447703137
Wellington St W / Bay St,43.647259,-79.379878,52,Toronto Sculpture Garden,3.6,43.64986750091855,-79.37366770337918,0.5777601655588471
Wellington St W / Bay St,43.647259,-79.379878,52,Tiff,4.0,43.64656218853344,-79.39050313780471,0.8584188940015927
Wellington St W / Bay St,43.647259,-79.379878,52,The Art of Banksy,4.0,43.6425099,-79.3745239,0.6815168748296829
Wellington St W / Bay St,43.647259,-79.379878,52,Inuit Art-Eskimo Art Gallery,0.0,43.64166,-79.37604,0.6949673883481808
Wellington St W / Bay St,43.647259,-79.379878,52,Harbourfront Centre,4.0,43.6389155063634,-79.38188386648048,0.9416909574305395
Wellington St W / Bay St,43.647259,-79.379878,52,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.7143606478465621
Wellington St W / Bay St,43.647259,-79.379878,52,Vagabondo Restobar,4.1,43.64402,-79.39078,0.9482687747552064
